review,date,source,review_id,sentences,sentence_id,sentence,sent_len,emoji_desc,sentiment_new
"All month long were spotlighting the women in our lives who inspire usour friends and family , mentors heroes . ",2020-03-01 22:36:52,Twitter,19,"['All month long were spotlighting the women in our lives who inspire usour friends and family , mentors heroes .']",0,"All month long were spotlighting the women in our lives who inspire usour friends and family , mentors heroes ., ",111,,Negative
Typical Saturday LeapDay How are you treating yourself today emojis only,2020-02-29 20:30:01,Twitter,20,['Typical Saturday LeapDay How are you treating yourself today emojis only'],0,"Typical Saturday LeapDay How are you treating yourself today emojis only, ",72,,Negative
Think we can all agree that iced coffee . ,2020-02-28 19:30:01,Twitter,21,['Think we can all agree that iced coffee .'],0,"Think we can all agree that iced coffee ., ",41,,Neutral
"Thursday is basically Friday Jr.  , which as good a reason any to treat yourself . ",2020-02-27 18:30:00,Twitter,22,"['Thursday is basically Friday Jr.  , which as good a reason any to treat yourself .']",0,"Thursday is basically Friday Jr.  , which as good a reason any to treat yourself ., ",82,,Positive
No need to compromise coziness for calories .  Starbucks Blonde Americano 15 cal 130 Honey Citrus Mint Tea London Fog 180 Pike Place Roast 5 Cappuccino 120,2020-02-26 19:44:50,Twitter,23,"['No need to compromise coziness for calories .', 'Starbucks Blonde Americano 15 cal 130 Honey Citrus Mint Tea London Fog 180 Pike Place Roast 5 Cappuccino 120']",0,"No need to compromise coziness for calories ., ",45,,Neutral
No need to compromise coziness for calories .  Starbucks Blonde Americano 15 cal 130 Honey Citrus Mint Tea London Fog 180 Pike Place Roast 5 Cappuccino 120,2020-02-26 19:44:50,Twitter,23,"['No need to compromise coziness for calories .', 'Starbucks Blonde Americano 15 cal 130 Honey Citrus Mint Tea London Fog 180 Pike Place Roast 5 Cappuccino 120']",1,"Starbucks Blonde Americano  cal  Honey Citrus Mint Tea London Fog  Pike Place Roast  Cappuccino , ",108,,Negative
"5 drinks to get know us 1 .  Coffee 2 3 NITRO COLD BREW 4 Pink Drink Grande pump vanilla , hazelnut soymilk extra hot latte",2020-02-21 00:58:02,Twitter,24,"['5 drinks to get know us 1 .', 'Coffee 2 3 NITRO COLD BREW 4 Pink Drink Grande pump vanilla , hazelnut soymilk extra hot latte']",0," drinks to get know us  ., ",27,,Neutral
"5 drinks to get know us 1 .  Coffee 2 3 NITRO COLD BREW 4 Pink Drink Grande pump vanilla , hazelnut soymilk extra hot latte",2020-02-21 00:58:02,Twitter,24,"['5 drinks to get know us 1 .', 'Coffee 2 3 NITRO COLD BREW 4 Pink Drink Grande pump vanilla , hazelnut soymilk extra hot latte']",1,"Coffee   NITRO COLD BREW  Pink Drink Grande pump vanilla , hazelnut soymilk extra hot latte, ",94,,Negative
"My Starbucks today had surprise beautiful coloring , and message on the sleeve .  Many thanks to student at Clow Elementary who created this Such an important Really made my",2020-02-19 09:51:42,Twitter,25,"['My Starbucks today had surprise beautiful coloring , and message on the sleeve .', 'Many thanks to student at Clow Elementary who created this Such an important Really made my']",0,"My Starbucks today had surprise beautiful coloring , and message on the sleeve ., ",80,,Verypositive
"My Starbucks today had surprise beautiful coloring , and message on the sleeve .  Many thanks to student at Clow Elementary who created this Such an important Really made my",2020-02-19 09:51:42,Twitter,25,"['My Starbucks today had surprise beautiful coloring , and message on the sleeve .', 'Many thanks to student at Clow Elementary who created this Such an important Really made my']",1,"Many thanks to student at Clow Elementary who created this Such an important Really made my, ",91,,Positive
"When I pulled up to the window for my daily afternoon iced coffee at Starbucks , three baristas came and said Evan Its Hi We love And it was so cute pure .  Excuse me Im busy feeling LOVED BY RELATIVE STRANGERS",2020-02-18 00:10:00,Twitter,26,"['When I pulled up to the window for my daily afternoon iced coffee at Starbucks , three baristas came and said Evan Its Hi We love And it was so cute pure .', 'Excuse me Im busy feeling LOVED BY RELATIVE STRANGERS']",0,"When I pulled up to the window for my daily afternoon iced coffee at Starbucks , three baristas came and said Evan Its Hi We love And it was so cute pure ., ",155,,Positive
"When I pulled up to the window for my daily afternoon iced coffee at Starbucks , three baristas came and said Evan Its Hi We love And it was so cute pure .  Excuse me Im busy feeling LOVED BY RELATIVE STRANGERS",2020-02-18 00:10:00,Twitter,26,"['When I pulled up to the window for my daily afternoon iced coffee at Starbucks , three baristas came and said Evan Its Hi We love And it was so cute pure .', 'Excuse me Im busy feeling LOVED BY RELATIVE STRANGERS']",1,"Excuse me Im busy feeling LOVED BY RELATIVE STRANGERS, ",53,,Positive
Surround yourself with goodness .  CoconutmilkLatte,2020-02-17 22:30:01,Twitter,27,"['Surround yourself with goodness .', 'CoconutmilkLatte']",0,"Surround yourself with goodness ., ",33,,Neutral
Surround yourself with goodness .  CoconutmilkLatte,2020-02-17 22:30:01,Twitter,27,"['Surround yourself with goodness .', 'CoconutmilkLatte']",1,"CoconutmilkLatte, ",16,,Neutral
"Weve got your Monday motivation in tall , grande and venti . ",2020-02-17 18:30:00,Twitter,28,"['Weve got your Monday motivation in tall , grande and venti .']",0,"Weve got your Monday motivation in tall , grande and venti ., ",60,,Neutral
Music to our ears .  Best Valentines Day ever,2020-02-15 05:05:05,Twitter,29,"['Music to our ears .', 'Best Valentines Day ever']",0,"Music to our ears ., ",19,,Neutral
Music to our ears .  Best Valentines Day ever,2020-02-15 05:05:05,Twitter,29,"['Music to our ears .', 'Best Valentines Day ever']",1,"Best Valentines Day ever, ",24,,Verypositive
"isnt just about couples .  its love , something we need more of in this world .  Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread",2020-02-14 19:24:10,Twitter,30,"['isnt just about couples .', 'its love , something we need more of in this world .', 'Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread']",0,"isnt just about couples ., ",25,,Neutral
"isnt just about couples .  its love , something we need more of in this world .  Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread",2020-02-14 19:24:10,Twitter,30,"['isnt just about couples .', 'its love , something we need more of in this world .', 'Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread']",1,"its love , something we need more of in this world ., ",52,,Positive
"isnt just about couples .  its love , something we need more of in this world .  Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread",2020-02-14 19:24:10,Twitter,30,"['isnt just about couples .', 'its love , something we need more of in this world .', 'Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread']",2,"Do for someone else today to spread Go visit a grandma or grandpa if youre still blessed have them Buy behind you coffee at Starbucks Spread, ",140,,Negative
All you need is love .  And coffee,2020-02-14 23:30:00,Twitter,31,"['All you need is love .', 'And coffee']",0,"All you need is love ., ",22,,Positive
All you need is love .  And coffee,2020-02-14 23:30:00,Twitter,31,"['All you need is love .', 'And coffee']",1,"And coffee, ",10,,Neutral
"Not sure who needs to hear this today , but you are loved . ",2020-02-14 21:30:01,Twitter,32,"['Not sure who needs to hear this today , but you are loved .']",0,"Not sure who needs to hear this today , but you are loved ., ",59,,Positive
Ready to find your perfect match Perfect beverage that,2020-02-14 18:30:01,Twitter,33,['Ready to find your perfect match Perfect beverage that'],0,"Ready to find your perfect match Perfect beverage that, ",54,,Positive
"today Well see you at two .  Get a treat for yourself and your too Buy any handcrafted drink , or larger get one free 213 from 27pm participating US Canada stores",2020-02-13 18:30:01,Twitter,34,"['today Well see you at two .', 'Get a treat for yourself and your too Buy any handcrafted drink , or larger get one free 213 from 27pm participating US Canada stores']",0,"today Well see you at two ., ",27,,Neutral
"today Well see you at two .  Get a treat for yourself and your too Buy any handcrafted drink , or larger get one free 213 from 27pm participating US Canada stores",2020-02-13 18:30:01,Twitter,34,"['today Well see you at two .', 'Get a treat for yourself and your too Buy any handcrafted drink , or larger get one free 213 from 27pm participating US Canada stores']",1,"Get a treat for yourself and your too Buy any handcrafted drink , or larger get one free  from pm participating US Canada stores, ",133,,Positive
Its almost the day .  No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me,2020-02-12 19:30:00,Twitter,35,"['Its almost the day .', 'No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me']",0,"Its almost the day ., ",20,,Neutral
Its almost the day .  No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me,2020-02-12 19:30:00,Twitter,35,"['Its almost the day .', 'No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me']",1,"No time left to wait Send right message your valentines date Dragon DrinkLOML Pink DrinkBFFL DrinkAll for me, ",108,,Positive
Just a reminder . ,2020-02-11 18:30:00,Twitter,36,['Just a reminder .'],0,"Just a reminder ., ",17,,Neutral
The votes are in,2020-02-08 05:51:00,Twitter,37,['The votes are in'],0,"The votes are in, ",16,,Neutral
Amount of snow falling outside Cold Brew sipped,2020-02-07 19:59:03,Twitter,38,['Amount of snow falling outside Cold Brew sipped'],0,"Amount of snow falling outside Cold Brew sipped, ",47,,Negative
"Sometimes its not the destination , but journey .  The nominees for Best Way to Order are",2020-02-07 04:30:13,Twitter,39,"['Sometimes its not the destination , but journey .', 'The nominees for Best Way to Order are']",0,"Sometimes its not the destination , but journey ., ",49,,Neutral
"Sometimes its not the destination , but journey .  The nominees for Best Way to Order are",2020-02-07 04:30:13,Twitter,39,"['Sometimes its not the destination , but journey .', 'The nominees for Best Way to Order are']",1,"The nominees for Best Way to Order are, ",38,,Verypositive
"Whether in a drink or snack , we all have favorite flavor .  The contestants this Flavor FaceOff are",2020-02-07 03:30:42,Twitter,40,"['Whether in a drink or snack , we all have favorite flavor .', 'The contestants this Flavor FaceOff are']",0,"Whether in a drink or snack , we all have favorite flavor ., ",59,,Positive
"Whether in a drink or snack , we all have favorite flavor .  The contestants this Flavor FaceOff are",2020-02-07 03:30:42,Twitter,40,"['Whether in a drink or snack , we all have favorite flavor .', 'The contestants this Flavor FaceOff are']",1,"The contestants this Flavor FaceOff are, ",39,,Negative
"Perfect in their own ways , we always find ourselves coming back around to these circular classics .  The nominees for All Round Champion are",2020-02-07 02:54:11,Twitter,41,"['Perfect in their own ways , we always find ourselves coming back around to these circular classics .', 'The nominees for All Round Champion are']",0,"Perfect in their own ways , we always find ourselves coming back around to these circular classics ., ",100,,Positive
"Perfect in their own ways , we always find ourselves coming back around to these circular classics .  The nominees for All Round Champion are",2020-02-07 02:54:11,Twitter,41,"['Perfect in their own ways , we always find ourselves coming back around to these circular classics .', 'The nominees for All Round Champion are']",1,"The nominees for All Round Champion are, ",39,,Negative
Many of our favorite drinks begin with a simple shot espresso .  The nominees for Best Espresso Expression are,2020-02-07 01:35:00,Twitter,42,"['Many of our favorite drinks begin with a simple shot espresso .', 'The nominees for Best Espresso Expression are']",0,"Many of our favorite drinks begin with a simple shot espresso ., ",63,,Positive
Many of our favorite drinks begin with a simple shot espresso .  The nominees for Best Espresso Expression are,2020-02-07 01:35:00,Twitter,42,"['Many of our favorite drinks begin with a simple shot espresso .', 'The nominees for Best Espresso Expression are']",1,"The nominees for Best Espresso Expression are, ",45,,Verypositive
Every coffee needs a scrumptious sidekick .  The nominees for Pastry Perfection are,2020-02-07 00:30:43,Twitter,43,"['Every coffee needs a scrumptious sidekick .', 'The nominees for Pastry Perfection are']",0,"Every coffee needs a scrumptious sidekick ., ",43,,Neutral
Every coffee needs a scrumptious sidekick .  The nominees for Pastry Perfection are,2020-02-07 00:30:43,Twitter,43,"['Every coffee needs a scrumptious sidekick .', 'The nominees for Pastry Perfection are']",1,"The nominees for Pastry Perfection are, ",38,,Negative
"From cozy to refreshing , theres a tea for everyone .  Introducing the nominees Tea in Leafing Role",2020-02-06 23:29:12,Twitter,44,"['From cozy to refreshing , theres a tea for everyone .', 'Introducing the nominees Tea in Leafing Role']",0,"From cozy to refreshing , theres a tea for everyone ., ",53,,Positive
"From cozy to refreshing , theres a tea for everyone .  Introducing the nominees Tea in Leafing Role",2020-02-06 23:29:12,Twitter,44,"['From cozy to refreshing , theres a tea for everyone .', 'Introducing the nominees Tea in Leafing Role']",1,"Introducing the nominees Tea in Leafing Role, ",44,,Negative
"Meatless but mighty , you cant go wrong with one of these breakfast champions .  The Nominees for Veggie Victors are",2020-02-06 22:36:46,Twitter,45,"['Meatless but mighty , you cant go wrong with one of these breakfast champions .', 'The Nominees for Veggie Victors are']",0,"Meatless but mighty , you cant go wrong with one of these breakfast champions ., ",79,,Negative
"Meatless but mighty , you cant go wrong with one of these breakfast champions .  The Nominees for Veggie Victors are",2020-02-06 22:36:46,Twitter,45,"['Meatless but mighty , you cant go wrong with one of these breakfast champions .', 'The Nominees for Veggie Victors are']",1,"The Nominees for Veggie Victors are, ",35,,Negative
"From a simplistic white dot to intricate layers and bold colors , these are the nominees for Best Dressed Drink . ",2020-02-06 21:33:52,Twitter,46,"['From a simplistic white dot to intricate layers and bold colors , these are the nominees for Best Dressed Drink .']",0,"From a simplistic white dot to intricate layers and bold colors , these are the nominees for Best Dressed Drink ., ",113,,Positive
"is back again for another year of voting the things you love .  Were kicking off with hottest thing in coffee , which also coolest Presenting Battle Cold Brew",2020-02-06 20:30:22,Twitter,47,"['is back again for another year of voting the things you love .', 'Were kicking off with hottest thing in coffee , which also coolest Presenting Battle Cold Brew']",0,"is back again for another year of voting the things you love ., ",62,,Positive
"is back again for another year of voting the things you love .  Were kicking off with hottest thing in coffee , which also coolest Presenting Battle Cold Brew",2020-02-06 20:30:22,Twitter,47,"['is back again for another year of voting the things you love .', 'Were kicking off with hottest thing in coffee , which also coolest Presenting Battle Cold Brew']",1,"Were kicking off with hottest thing in coffee , which also coolest Presenting Battle Cold Brew, ",94,,Negative
How do you drink your Iced Coffee,2020-02-05 22:37:39,Twitter,48,['How do you drink your Iced Coffee'],0,"How do you drink your Iced Coffee, ",33,,Neutral
"Iced , no matter what . ",2020-02-05 20:50:18,Twitter,49,"['Iced , no matter what .']",0,"Iced , no matter what ., ",23,,Neutral
"We all need to have a fair chance do what we want .  How you live , how love believe Thats I be seen Donise Starbucks lawyer American Bar Association Spirit of Excellence award recipient is an advocate for workplace",2020-02-04 22:32:14,Twitter,50,"['We all need to have a fair chance do what we want .', 'How you live , how love believe Thats I be seen Donise Starbucks lawyer American Bar Association Spirit of Excellence award recipient is an advocate for workplace']",0,"We all need to have a fair chance do what we want ., ",51,,Positive
"We all need to have a fair chance do what we want .  How you live , how love believe Thats I be seen Donise Starbucks lawyer American Bar Association Spirit of Excellence award recipient is an advocate for workplace",2020-02-04 22:32:14,Twitter,50,"['We all need to have a fair chance do what we want .', 'How you live , how love believe Thats I be seen Donise Starbucks lawyer American Bar Association Spirit of Excellence award recipient is an advocate for workplace']",1,"How you live , how love believe Thats I be seen Donise Starbucks lawyer American Bar Association Spirit of Excellence award recipient is an advocate for workplace, ",162,,Positive
"Were not a monolithic group .  If I dont tell you my story , how would know that didnt share the experiences of other Black people here Edna member tribe Ghana and Starbucks legal practice assistant takes pride in her",2020-02-04 22:31:21,Twitter,51,"['Were not a monolithic group .', 'If I dont tell you my story , how would know that didnt share the experiences of other Black people here Edna member tribe Ghana and Starbucks legal practice assistant takes pride in her']",0,"Were not a monolithic group ., ",29,,Neutral
"Were not a monolithic group .  If I dont tell you my story , how would know that didnt share the experiences of other Black people here Edna member tribe Ghana and Starbucks legal practice assistant takes pride in her",2020-02-04 22:31:21,Twitter,51,"['Were not a monolithic group .', 'If I dont tell you my story , how would know that didnt share the experiences of other Black people here Edna member tribe Ghana and Starbucks legal practice assistant takes pride in her']",1,"If I dont tell you my story , how would know that didnt share the experiences of other Black people here Edna member tribe Ghana and Starbucks legal practice assistant takes pride in her, ",186,,Negative
"I know there are a lot of people like me out .  can use my story and store resources , show them the pathway forward help advance their growth development is driven to his visibility as manager raise up other leaders",2020-02-04 22:30:08,Twitter,52,"['I know there are a lot of people like me out .', 'can use my story and store resources , show them the pathway forward help advance their growth development is driven to his visibility as manager raise up other leaders']",0,"I know there are a lot of people like me out ., ",46,,Neutral
"I know there are a lot of people like me out .  can use my story and store resources , show them the pathway forward help advance their growth development is driven to his visibility as manager raise up other leaders",2020-02-04 22:30:08,Twitter,52,"['I know there are a lot of people like me out .', 'can use my story and store resources , show them the pathway forward help advance their growth development is driven to his visibility as manager raise up other leaders']",1,"can use my story and store resources , show them the pathway forward help advance their growth development is driven to his visibility as manager raise up other leaders, ",168,,Negative
"This BlackHistoryMonth , we are shining a spotlight on what inspires and drives our partners employees customers . ",2020-02-04 22:29:32,Twitter,53,"['This BlackHistoryMonth , we are shining a spotlight on what inspires and drives our partners employees customers .']",0,"This BlackHistoryMonth , we are shining a spotlight on what inspires and drives our partners employees customers ., ",114,,Neutral
"What you need to fuel your day .  Spinach , Feta CageFree Egg White Wrap 20g protein Sprouted Grain with Avocado Spread sold separately 13g Roasted Red Pepper Sous Vide Bites 12g",2020-02-03 20:30:00,Twitter,54,"['What you need to fuel your day .', 'Spinach , Feta CageFree Egg White Wrap 20g protein Sprouted Grain with Avocado Spread sold separately 13g Roasted Red Pepper Sous Vide Bites 12g']",0,"What you need to fuel your day ., ",32,,Neutral
"What you need to fuel your day .  Spinach , Feta CageFree Egg White Wrap 20g protein Sprouted Grain with Avocado Spread sold separately 13g Roasted Red Pepper Sous Vide Bites 12g",2020-02-03 20:30:00,Twitter,54,"['What you need to fuel your day .', 'Spinach , Feta CageFree Egg White Wrap 20g protein Sprouted Grain with Avocado Spread sold separately 13g Roasted Red Pepper Sous Vide Bites 12g']",1,"Spinach , Feta CageFree Egg White Wrap g protein Sprouted Grain with Avocado Spread sold separately g Roasted Red Pepper Sous Vide Bites g, ",144,,Negative
"Throughout BlackHistoryMonth , were honored to be sharing the personal stories of our partners employees and exploring key moments that shaped who they are strive how encourage others . ",2020-02-01 21:28:13,Twitter,55,"['Throughout BlackHistoryMonth , were honored to be sharing the personal stories of our partners employees and exploring key moments that shaped who they are strive how encourage others .']",0,"Throughout BlackHistoryMonth , were honored to be sharing the personal stories of our partners employees and exploring key moments that shaped who they are strive how encourage others ., ",185,,Neutral
Cold coffee is best while,2020-02-01 21:51:55,Twitter,56,['Cold coffee is best while'],0,"Cold coffee is best while, ",25,,Positive
Whats your Friday Starbucks goto Selfies please,2020-01-31 22:30:01,Twitter,57,['Whats your Friday Starbucks goto Selfies please'],0,"Whats your Friday Starbucks goto Selfies please, ",47,,Neutral
Its a lifestyle . ,2020-01-30 19:30:01,Twitter,58,['Its a lifestyle .'],0,"Its a lifestyle ., ",17,,Neutral
